Comment,Designator,Footprint,LCSC Part #
WAFER-HY2.0-4PWZ-R62 RED,CN2,HY2.0-4P,C22390444
WAFER-HY2.0-4PWZ-R62 RED,CN3,HY2.0-4P,C22390444
HX-HY2.0-4PWZ-B BLACK,CN4,HY2.0-4P,
HX-HY2.0-4PWZ STANDARD,CN5,HY2.0-4P,
HX-HY2.0-4PWZ STANDARD,CN6,HY2.0-4P,
HX-HY2.0-4PWZ STANDARD,CN7,HY2.0-4P,
KH-2.54PH-2X15P-L11.0-SMT,J10,2X15-SMD,C19630981
F136-1215A0CMUB1,J11,2X15-SMD,C41382298
4.7K 0603,R1,0603,C23162
4.7K 0603,R2,0603,C23162
SK6812SIDE-A,U1,SK6812-SIDE,C5378721
SK6812SIDE-A,U2,SK6812-SIDE,C5378721
SK6812SIDE-A,U3,SK6812-SIDE,C5378721
SK6812SIDE-A,U4,SK6812-SIDE,C5378721
SK6812SIDE-A,U5,SK6812-SIDE,C5378721
SK6812SIDE-A,U6,SK6812-SIDE,C5378721
SK6812SIDE-A,U7,SK6812-SIDE,C5378721
SK6812SIDE-A,U8,SK6812-SIDE,C5378721
SK6812SIDE-A,U9,SK6812-SIDE,C5378721
SK6812SIDE-A,U10,SK6812-SIDE,C5378721
