"Comment","Designator","Footprint","LCSC Part #","Manufacturer","Manufacturer Part Number","Quantity"
"GROVE_PORT_A_RED","CN2,CN3","M5GObase_sub:CON_GROVE_H","C22390444","XUNPU(讯普)","WAFER-HY2.0-4PWZ-R62","2"
"GROVE_PORT_B_BLACK","CN4","M5GObase_sub:CON_GROVE_H","","hanxia(韩下)","HX-HY2.0-4PWZ-B","1"
"GROVE_PORT_C_STANDARD","CN5","M5GObase_sub:CON_GROVE_H","","hanxia(韩下)","HX-HY2.0-4PWZ","1"
"GROVE_PORT_D_STANDARD","CN6","M5GObase_sub:CON_GROVE_H","","hanxia(韩下)","HX-HY2.0-4PWZ","1"
"GROVE_PORT_E_STANDARD","CN7","M5GObase_sub:CON_GROVE_H","","hanxia(韩下)","HX-HY2.0-4PWZ","1"
"MBUS_TOP_HEADER_2X15_SMD","J10","Connector_PinHeader_2.54mm:PinHeader_2x15_P2.54mm_Vertical_SMD","C19630981","kinghelm(金航标)","KH-2.54PH-2X15P-L11.0-SMT","1"
"F136-1215A0CMUB1","J11","HDR-SMD_F136-1215A0CMUB1","C41382298","Yxcon","F136-1215A0CMUB1","1"
"0603WAF4701T5E","R1","M5GObase_sub:0603","C23162","UNI-ROYAL","0603WAF4701T5E","1"
"0603WAF4701T5E","R2","M5GObase_sub:0603","C23162","UNI-ROYAL","0603WAF4701T5E","1"
"SK6812SIDE-A","U1,U2,U3,U5,U6,U7,U8,U9,U10","akita:LED_SK6812SIDE","C5378721","OPSCO Optoelectronics","SK6812SIDE-A","9"
"SK6812SIDE-A","U4","akita:LED_SK6812SIDE","C5378721","OPSCO Optoelectronics","SK6812SIDE-A","1"
