"Designator","Mid X","Mid Y","Layer","Rotation"
"CN6","25.5mm","6.5mm","Top","180"
"CN4","25.5mm","43.5mm","Top","0"
"CN2","36mm","43.5mm","Top","0"
"CN5","15mm","43.5mm","Top","0"
"CN3","36mm","6.5mm","Top","180"
"CN7","15mm","6.5mm","Top","180"
"U4","1.5mm","19.138mm","Top","270"
"U5","1.5mm","13mm","Top","270"
"U6","48.5mm","13mm","Top","90"
"U7","48.5mm","19mm","Top","90"
"U9","48.25mm","31mm","Top","90"
"U10","48.5mm","37mm","Top","90"
"U8","48.25mm","24.987mm","Top","90"
"U2","1.5mm","31mm","Top","270"
"U1","1.5mm","37mm","Top","270"
"U3","1.5mm","25mm","Top","270"
"J10","6mm","25mm","Top","0"
"R1","32mm","33mm","Bottom","180"
"R2","32mm","31mm","Bottom","180"
"J11","6mm","25mm","Bottom","270"
